Celebrity,Filename,face_lw_ratio,forehead_ratio,midface_ratio,lowerface_ratio,eye_distance_ratio,nose_ratio,mouth_chin_ratio,jaw_angle,upper_lip_ratio,lower_lip_ratio,eye_aspect_ratio,eye_curvature_ratio,eye_symmetry
Barbara_Corcoran,da5e0271d6c53bab19c1f3a844913978.jpg,0.397,0.328,0.374,0.331,0.228,0.456,1.628,161.239,0.134,0.468,0.578,0.127,0.977
Reed_Hastings,000001.jpg,0.724,0.344,0.312,0.376,0.233,0.899,1.138,145.138,0.107,0.128,0.308,0.064,0.845
Sergey_Brin,170f80685cda1dde1f132c64d620b5df.jpg,0.68,0.34,0.305,0.415,0.248,0.867,1.174,139.61,0.142,0.207,0.388,0.085,0.933
Elon_Musk,48eb84b12bc3de61968b72caecde89e2.jpg,0.877,0.348,0.331,0.37,0.234,1.039,1.151,140.499,0.106,0.142,0.27,0.064,0.94
Chris_Evans,dc8eff22124ff01d334ea94958169ec2.jpg,0.405,0.352,0.305,0.379,0.239,0.517,1.07,154.165,0.19,0.336,0.515,0.112,0.929
Daymond_John,01f27290ab5a09a7b82a4ec493cfe891.png,0.892,0.326,0.313,0.423,0.224,1.143,1.008,137.03,0.203,0.25,0.252,0.055,0.967
Demis_Hassabis,000001.jpg,0.55,0.336,0.307,0.414,0.259,0.784,1.249,146.986,0.114,0.373,0.388,0.094,0.832
Neil_Armstrong,000001.jpg,0.433,0.332,0.333,0.377,0.245,0.539,1.198,150.92,0.148,0.22,0.571,0.118,0.852
Kendall_Jenner,7e0ceb7e0d6a464daf2dd7e44c6dd7a7.png,0.958,0.317,0.383,0.321,0.259,1.025,1.247,151.693,0.138,0.182,0.269,0.06,0.921
Tom_Hanks,3c45c938ef602660ebafa2caef4005a2.jpg,0.727,0.352,0.317,0.375,0.247,0.893,1.21,141.173,0.117,0.135,0.227,0.052,0.887
Justin_Bieber,cb3fd2d2536e80accfc8f200cffe25a1.jpg,0.82,0.347,0.317,0.378,0.222,0.984,0.969,145.925,0.181,0.243,0.283,0.064,0.855
Howard_Schultz,5e859daec23b8deda3f9aec638f83751.jpg,0.73,0.342,0.353,0.332,0.251,0.863,1.258,150.347,0.079,0.283,0.386,0.079,0.942
